GeneSymbol	GeneID	PCC
BRIX1	ENSG00000113460.12	0.80
NSUN2	ENSG00000037474.14	0.79
NUP155	ENSG00000113569.15	0.75
TARS	ENSG00000113407.13	0.71
RAD1	ENSG00000113456.18	0.70
DNAJC21	ENSG00000168724.14	0.67
TRIP13	ENSG00000071539.13	0.67
RAN	ENSG00000132341.11	0.65
SKP2	ENSG00000145604.15	0.64
PAIP1	ENSG00000172239.13	0.62
KIF4A	ENSG00000090889.11	0.61
ICE1	ENSG00000164151.11	0.61
PNO1	ENSG00000115946.7	0.61
NCAPH	ENSG00000121152.9	0.61
CENPI	ENSG00000102384.13	0.61
MED10	ENSG00000133398.3	0.61
KIF23	ENSG00000137807.13	0.61
OTULIN	ENSG00000154124.4	0.61
GMPS	ENSG00000163655.15	0.60
SERBP1	ENSG00000142864.14	0.60
KPNA2	ENSG00000182481.8	0.60
KIF2C	ENSG00000142945.12	0.60
TPX2	ENSG00000088325.15	0.60
RACGAP1	ENSG00000161800.12	0.60
CCNB1	ENSG00000134057.14	0.60
STIP1	ENSG00000168439.16	0.60
NUP37	ENSG00000075188.8	0.60
CEP55	ENSG00000138180.15	0.60
NOL10	ENSG00000115761.15	0.60
PSMD14	ENSG00000115233.11	0.60
PRKDC	ENSG00000253729.7	0.59
PGAM5	ENSG00000247077.6	0.59
NIP7	ENSG00000132603.13	0.59
SSRP1	ENSG00000149136.7	0.59
BIRC5	ENSG00000089685.14	0.59
CDCA5	ENSG00000146670.9	0.59
MCM10	ENSG00000065328.16	0.58
CKAP2L	ENSG00000169607.12	0.58
DLGAP5	ENSG00000126787.12	0.58
ZWILCH	ENSG00000174442.11	0.58
PPM1G	ENSG00000115241.10	0.58
PLK1	ENSG00000166851.14	0.58
BUB1	ENSG00000169679.14	0.58
MRPL36	ENSG00000171421.12	0.58
NUDCD1	ENSG00000120526.10	0.57
TUBA1C	ENSG00000167553.14	0.57
MELK	ENSG00000165304.7	0.57
KIAA1524	ENSG00000163507.13	0.57
RUVBL1	ENSG00000175792.11	0.57
POLR2D	ENSG00000144231.10	0.57
DKC1	ENSG00000130826.15	0.57
GTPBP4	ENSG00000107937.18	0.57
PA2G4	ENSG00000170515.13	0.57
CSE1L	ENSG00000124207.16	0.57
CACYBP	ENSG00000116161.17	0.57
CCNB2	ENSG00000157456.7	0.57
DCAF13	ENSG00000164934.13	0.57
NDC1	ENSG00000058804.11	0.57
DDIAS	ENSG00000165490.12	0.57
GINS1	ENSG00000101003.9	0.57
CD3EAP	ENSG00000117877.10	0.57
RCC1	ENSG00000180198.15	0.57
AUNIP	ENSG00000127423.10	0.56
EIF2S1	ENSG00000134001.12	0.56
AURKA	ENSG00000087586.17	0.56
PAPD7	ENSG00000112941.12	0.56
CSTF2	ENSG00000101811.13	0.56
TTK	ENSG00000112742.9	0.56
MAD2L1	ENSG00000164109.13	0.56
CDK1	ENSG00000170312.15	0.56
KIF14	ENSG00000118193.11	0.56
MTFR2	ENSG00000146410.11	0.56
KCMF1	ENSG00000176407.17	0.56
EXO1	ENSG00000174371.16	0.56
RNASEH1	ENSG00000171865.9	0.56
WDR43	ENSG00000163811.11	0.56
SRSF3	ENSG00000112081.16	0.56
KIF11	ENSG00000138160.5	0.56
GPN1	ENSG00000198522.13	0.56
NAA50	ENSG00000121579.12	0.56
PSMD12	ENSG00000197170.9	0.55
DSCC1	ENSG00000136982.5	0.55
BRD9	ENSG00000028310.17	0.55
ZWINT	ENSG00000122952.16	0.55
SET	ENSG00000119335.16	0.55
KIF20A	ENSG00000112984.11	0.55
CKS1B	ENSG00000173207.12	0.55
CCNA2	ENSG00000145386.9	0.55
TDG	ENSG00000139372.14	0.55
EIF2S2	ENSG00000125977.6	0.55
DEPDC1	ENSG00000024526.16	0.55
MASTL	ENSG00000120539.14	0.55
KIF18A	ENSG00000121621.6	0.55
NCAPG	ENSG00000109805.9	0.55
LMNB2	ENSG00000176619.10	0.55
NEK2	ENSG00000117650.12	0.55
NOLC1	ENSG00000166197.16	0.55
RIOK1	ENSG00000124784.8	0.55
MCM4	ENSG00000104738.16	0.55
TRMT6	ENSG00000089195.14	0.54
